source_id,ra,dec,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,bp_rp,ruwe
4008390933229933184,186.90978775668228,25.912065612176065,11.792438590609436,0.0296364,-12.309256854926865,0.031849034,-9.017890993836923,0.031633027,6.647958,0.23252583,0.9055575
4009070362696206848,186.04672474920372,26.887916732091533,11.582900257593915,0.031719964,-11.340949102535335,0.032830283,-9.344012912245317,0.027485972,13.13185,1.9766026,1.0730832
4003559679137550720,182.78069947263754,25.99013449687604,11.562245610154132,0.020040853,-11.978564963240352,0.020900613,-9.098930150755642,0.015552728,9.401988,0.79502964,1.0765576
4008820429959330304,187.23504578071072,26.549236257749303,11.864042769123666,0.018805938,-12.858292748943693,0.01851185,-9.084687377698426,0.015204595,10.527642,1.0671978,1.0690118
4009051052523297024,186.46508677489155,26.77678211589978,11.513576935388839,0.08751877,-10.515534618578904,0.10463823,-7.603115637627972,0.109409,15.341316,1.5921774,0.9893718
3959841756787187456,187.5202296239062,24.042715404222726,11.410721229347255,0.028767787,-12.098713585255744,0.024989054,-8.627888387247115,0.029846868,14.452757,2.4767199,1.0726526
4008433608024885632,185.7849390609494,25.851334523984008,11.49325370846484,0.029805506,-11.89537378093639,0.021215845,-8.977502405807918,0.03238123,8.964308,0.7300501,1.1926379
4008434844975468928,185.8674586376025,25.894378562072443,11.609420662778279,0.021684907,-12.168154501957508,0.021670245,-9.68171975582952,0.020089032,11.684908,1.4384413,1.0389595
4008706733584941312,185.4542158864933,26.549061431695932,11.654456457757263,0.019855754,-12.465125614820254,0.018623434,-8.085065204758486,0.021974565,9.1465845,0.74728775,1.0758452
4008867674599508992,186.7760318476816,26.845659058127957,11.321368592854467,0.019229716,-12.696461660153705,0.018824823,-7.900239320608161,0.020800013,9.6919365,0.8418207,1.1448312
4009051048227419520,186.46640103399662,26.776632746639446,11.704928746384672,0.024158284,-13.27856522317236,0.025678108,-8.573277082225571,0.026511693,8.231913,0.5962596,1.091815
4009109979474585600,186.66773923690135,27.312033463284003,12.168466567916171,0.03715711,-13.506781757045369,0.03451579,-9.034071762348695,0.043746226,15.321909,2.7270079,1.0963686
4009888468066749952,184.0977314145466,28.41948838043142,11.69761597205517,0.095294714,-10.624721720178039,0.08778937,1.81995427052107,0.07266329,17.122265,3.2295494,1.0627465
4010481379712589056,188.25254584210103,27.712389784259962,12.22407421401339,0.019262156,-12.981135070426117,0.021630881,-9.781898066475833,0.02231944,10.92639,1.1999779,1.3117428
4011113186581046528,189.32257122975145,29.35320181268415,11.78640239022376,0.13988371,-12.07128768306928,0.13803156,-7.996082709653275,0.13940156,17.79288,3.629551,0.96550757
3959379102909992576,190.777381282321,24.254744393531023,11.886223545276513,0.0360862,-12.255428680722463,0.0371424,-8.597947320045012,0.039277792,15.1277895,2.7330942,1.1357338
4002550293102977152,184.4620542936903,25.57130155386726,11.257660928340806,0.02948146,-11.302188840219484,0.028868733,-9.568052124014823,0.02519906,7.763075,0.4994707,1.0481224
4008511467191955840,184.73402247196805,25.765840148669753,11.563829620652164,0.06417699,-11.667964504523102,0.06518788,-9.641786861316437,0.04922257,16.611988,-0.14979744,0.99987555
4009440382718550272,184.17173723362242,26.777463987530197,11.56666210922321,0.04626611,-11.7926205407115,0.047693066,-10.401704480890473,0.055509802,16.11994,2.892048,0.9736385
4013361447341974912,183.81814166873286,29.350715122211327,11.344105735979726,0.032347444,-11.74962248815715,0.033025675,-9.212508813935571,0.028456535,15.383797,2.7492952,1.0305351
3959503725681020032,190.6618486012362,25.16035854471389,11.102766482253795,0.016667759,-11.381380931968573,0.01678235,-7.4731975077504735,0.018414956,13.678233,2.133256,1.0600045
3953836670952932224,185.9812849701794,23.41442751358929,11.323041456709461,0.021666925,-11.226842815911347,0.025933063,-9.337880977539786,0.020448197,14.102888,2.281331,1.1307029
3960449099522357376,187.86548780219545,25.394363678685743,12.044899282623948,0.026056385,-12.113113498199901,0.020859998,-8.533602685755788,0.021336388,13.950062,2.29854,1.1366155
4008525241151501824,185.18981775032844,25.765825987684956,11.863090934484516,0.019636324,-12.122437132810816,0.016848758,-8.171706525956987,0.0154790515,8.918177,0.7264643,1.1294115
4008553489152025856,185.3150045228192,26.153859814085543,11.87450320444636,0.01970268,-11.721512657671358,0.022397254,-9.432656463949545,0.017915472,11.14276,1.2566671,1.0750853
4009300950900755968,186.9511603822618,28.19437359120453,12.301815087210008,0.018712407,-13.357383647100852,0.018977283,-9.145968851150936,0.016419007,9.504902,0.83781815,1.0370451
4010214778206706048,185.15077505221183,28.451996168644044,12.145748282903584,0.08658774,-12.75974353076179,0.09157392,-8.950757589866761,0.084717914,17.166252,3.2951937,1.0038476
3954074577781239936,185.80005184761706,23.937462899043123,11.237113446675087,0.029610882,-11.855304544645382,0.029872455,-9.071984013909326,0.028355908,14.961775,2.602048,1.1321821
3959582478201258496,188.82264276478324,24.465019841388337,11.152993528383135,0.01699836,-11.783248268885771,0.019329198,-7.748013924297606,0.016165785,13.447648,2.04819,1.1248349
3960341892843205248,186.76783131806815,25.683693172623787,11.221194013558911,0.17379543,-12.30610869745711,0.15671583,-8.107547278355874,0.16180626,17.576792,3.9223366,1.1912426
4009508689878952832,185.4194978861292,27.130799915898677,11.498609074415453,0.015387701,-11.896663020080837,0.013281541,-8.808999350383079,0.019765465,13.191741,2.2328196,1.0628557
4010829306422806272,187.1148483370905,28.562211933040306,11.63227029591835,0.061886508,-12.898358086586953,0.061968528,-8.456349675151223,0.082330726,15.334582,2.9738731,1.0865004
3954070042295789824,186.04527500302666,23.993343749280395,12.21414270752253,0.029530616,-13.096383832588131,0.028072797,-8.985750095232271,0.026036872,15.008049,2.5938454,0.9835597
4008571356215936896,184.7583775602881,26.008311582425133,11.69316403635964,0.031280614,-12.133406576570144,0.027323904,-8.68002731870255,0.025365941,6.4131384,0.24591589,1.0331798
4009041088198961152,187.76284574784245,27.730301679687066,11.659400648357318,0.022413468,-12.39736219342782,0.020553151,-8.439158839842072,0.02234183,8.443741,0.62830734,1.0763503
4009049575054518400,186.26094408007592,26.710578987770322,11.927210772640516,0.02239863,-11.548798494882355,0.024424305,-8.678877737189781,0.020614415,14.237177,2.3997068,1.1441921
4002565308308607616,184.03483770635222,25.760325255687487,11.757948685259558,0.02554104,-12.27746693669467,0.02710892,-10.418954869143045,0.019314233,7.988176,0.5549741,0.9621268
